id,product_id,name,value,price_adjustment,inventory_quantity,sku,created_at
3017cc4d-281d-42ba-b3bc-463755b4083b,aa9058c2-3702-4840-909d-4536f8ef27e7,Size,M,0.00,8,M-SRT-LN-015-M,2025-10-11 11:54:11.020191+00
30da0001-042a-477d-8008-90217ac75308,100a25a8-1074-4082-bf3e-619e6bf0ed06,Size,S,0.00,10,M-SRT-OX-009-S,2025-10-11 11:54:01.360866+00
32c2e2b3-ef67-47fa-8a5b-b99d0e8a3521,a72d121a-7487-438d-b961-cbbf19626135,Size,L,10.00,2,W-JKT-LTH-007-L,2025-10-11 11:53:58.358926+00
36823b9c-0525-40aa-be51-e57a5bfb6cd1,d9fd706a-05fe-4cbf-aa17-ef87fba1bb1b,Style,Variant,0.00,29,A-ER-HOOP-025-STD,2025-10-11 11:54:20.28725+00
38939684-116f-405d-b9f3-150235dd0e0e,4b118e6e-16fe-4b89-b29c-17edd6303d62,Size,XS,0.00,8,M-TEE-PM-014-XS,2025-10-11 11:54:09.481451+00
3a08bf12-56f3-4164-a2c4-6fc61eeb8f72,45e64d53-de11-4614-8e1b-3b16aac95357,Size,XS,0.00,3,W-SKT-PL-006-XS,2025-10-11 11:53:56.825049+00
3cf62b7f-903d-478b-9456-e4a2fc5e9ed8,b6ce3169-694b-4c53-97e3-97364d3c6f4b,Size,XS,0.00,0,M-JKT-SD-013-XS,2025-10-11 11:54:08.152219+00
3d26c542-6450-4b78-ab8d-46e4f2702a92,cd548d76-1702-4cf5-a5d1-c2101fac11f2,Size,L,10.00,4,M-DNM-SV-010-L,2025-10-11 11:54:04.270211+00
3db747b8-749f-4c48-8272-8b1af2b26d50,a72d121a-7487-438d-b961-cbbf19626135,Size,XL,15.00,0,W-JKT-LTH-007-XL,2025-10-11 11:53:58.458292+00
3e978ac7-d400-455e-bde4-6199e9bd3bf6,b6ce3169-694b-4c53-97e3-97364d3c6f4b,Size,L,10.00,0,M-JKT-SD-013-L,2025-10-11 11:54:08.439861+00
40c12a54-1ec6-46b1-b668-829c1653e95c,de2ff47e-217a-4f7d-be31-1b2a9926eda9,Style,Variant,0.00,40,A-TIE-SK-021-STD,2025-10-11 11:54:16.751876+00
41084aee-4932-4de9-8634-b6209e55b7eb,4f37e0ee-e916-47ea-affc-4d01665bb2db,Size,L,10.00,2,M-BLZ-NV-016-L,2025-10-11 11:54:12.324502+00
4583e3ed-da49-4a63-81bb-9d35c17cfa4c,45e64d53-de11-4614-8e1b-3b16aac95357,Size,S,0.00,7,W-SKT-PL-006-S,2025-10-11 11:53:56.912488+00
45fd2a79-c44e-433d-baf1-20abd0882c85,783a36aa-334d-4e88-88cf-65b04f6a0fc3,Size,L,10.00,8,M-PNT-TC-012-L,2025-10-11 11:54:07.108447+00
470dc25e-8890-40b1-8b49-35160690f55a,4f37e0ee-e916-47ea-affc-4d01665bb2db,Size,XL,15.00,1,M-BLZ-NV-016-XL,2025-10-11 11:54:12.40871+00
492dcbf6-c442-4df3-a99b-5fa827ab8493,80bf27c4-ceeb-45bb-b9d0-3696000167be,Size,XS,0.00,3,W-DRS-SS-001-XS,2025-10-11 11:53:49.63026+00
50738515-aa67-4bae-a9ab-425fc86ea966,58bce0b5-fe59-44c4-a5e4-0242444215bf,Size,XS,0.00,6,W-TEE-OC-008-XS,2025-10-11 11:53:59.503196+00
51a7e726-340f-4275-b0a6-56958d842842,274fb507-6d75-46b0-87f5-8d873644c52c,Size,XL,15.00,1,W-BLZ-LN-004-XL,2025-10-11 11:53:54.319739+00
53a0e632-c21a-4e77-b3e0-3a0672b44d6d,aa9058c2-3702-4840-909d-4536f8ef27e7,Size,XS,0.00,3,M-SRT-LN-015-XS,2025-10-11 11:54:10.843308+00
5429e1e4-1607-4696-8b74-d3085cf8ffda,cd548d76-1702-4cf5-a5d1-c2101fac11f2,Size,XS,0.00,3,M-DNM-SV-010-XS,2025-10-11 11:54:03.977619+00
54b37feb-9b6b-4212-82d3-1ca965f2cd63,a72d121a-7487-438d-b961-cbbf19626135,Size,S,0.00,3,W-JKT-LTH-007-S,2025-10-11 11:53:58.179856+00
5db6beab-069d-4dc0-b8e2-ab93580e12d4,58bce0b5-fe59-44c4-a5e4-0242444215bf,Size,XL,15.00,4,W-TEE-OC-008-XL,2025-10-11 11:53:59.904486+00
64438cd3-57cb-43db-bbd4-dadf01042049,cd548d76-1702-4cf5-a5d1-c2101fac11f2,Size,M,0.00,6,M-DNM-SV-010-M,2025-10-11 11:54:04.165056+00
6577a97d-7310-4e86-bd0f-a7ae42ab69e5,7a199e8b-b8e1-46d2-beb8-99ba92f52dcd,Size,S,0.00,8,M-SWT-MR-011-S,2025-10-11 11:54:05.467807+00
65f8e37b-f8a3-45aa-9094-9ce48c2d783d,60a51ad1-ba52-43e5-9218-54e27ca857e0,Size,L,10.00,2,W-CT-WL-002-L,2025-10-11 11:53:51.260635+00
6d67651d-e9b1-48da-aa97-a4dae1a4da1b,783a36aa-334d-4e88-88cf-65b04f6a0fc3,Size,XS,0.00,6,M-PNT-TC-012-XS,2025-10-11 11:54:06.795923+00
70a11d7b-a624-4bd5-8b95-7e4f746234c8,4b118e6e-16fe-4b89-b29c-17edd6303d62,Size,XL,15.00,5,M-TEE-PM-014-XL,2025-10-11 11:54:09.877247+00
768d7e3e-b30a-4302-b609-2e9c40a7b450,1d19f678-f760-4786-9b01-1fb8917f0220,Style,Variant,0.00,19,A-SUN-PL-022-STD,2025-10-11 11:54:17.799818+00
78545b6c-f069-4b3e-80fa-dbe7fcdfa15c,1323fd17-1e4c-4b33-a1a9-6d1ef29bbb23,Size,L,10.00,7,W-DNM-HR-003-L,2025-10-11 11:53:52.673186+00
78f495d4-109a-4d87-9e88-202641f031d5,6d056ecb-5e47-44bb-b9ef-d33e87f98d96,Style,Variant,0.00,27,A-BAG-CB-018-STD,2025-10-11 11:54:14.100853+00
857ae682-b3b5-4ac0-a638-9024c5d69fb6,274fb507-6d75-46b0-87f5-8d873644c52c,Size,XS,0.00,2,W-BLZ-LN-004-XS,2025-10-11 11:53:53.939483+00
88b3b2d1-0e1f-4d17-ba34-c8c5fef08b4d,1323fd17-1e4c-4b33-a1a9-6d1ef29bbb23,Size,XL,15.00,3,W-DNM-HR-003-XL,2025-10-11 11:53:52.762503+00
89584e70-28c5-4717-9d91-e21b64675cc6,7a199e8b-b8e1-46d2-beb8-99ba92f52dcd,Size,L,10.00,6,M-SWT-MR-011-L,2025-10-11 11:54:05.663734+00
8e2a4db2-a736-4cb3-9a1f-e9f398d5e60c,aa9058c2-3702-4840-909d-4536f8ef27e7,Size,S,0.00,7,M-SRT-LN-015-S,2025-10-11 11:54:10.933699+00
99fb1495-78b8-40c8-a78d-c7eb2efe6073,60a51ad1-ba52-43e5-9218-54e27ca857e0,Size,M,0.00,3,W-CT-WL-002-M,2025-10-11 11:53:51.170952+00
9bba37b9-5099-4190-a8eb-08fb51c3538b,274fb507-6d75-46b0-87f5-8d873644c52c,Size,S,0.00,5,W-BLZ-LN-004-S,2025-10-11 11:53:54.032961+00
9e9e1526-9f9e-4a4f-9d26-e46aa416f9f4,80bf27c4-ceeb-45bb-b9d0-3696000167be,Size,S,0.00,6,W-DRS-SS-001-S,2025-10-11 11:53:49.724742+00
9eaef92e-1c06-485b-bf5f-1567d80201c7,cd548d76-1702-4cf5-a5d1-c2101fac11f2,Size,XL,15.00,2,M-DNM-SV-010-XL,2025-10-11 11:54:04.366568+00
a08e6120-aecf-47ac-b82a-3deeb3e190f1,979f809c-bc8f-4eec-89ce-de32b4175b32,Style,Variant,0.00,33,A-SCF-CS-020-STD,2025-10-11 11:54:15.845818+00
a48d0873-89b5-4347-8e99-82d0f08ab503,8b635074-268f-466c-949e-aaaf0b143834,Size,XS,0.00,4,W-SWT-CS-005-XS,2025-10-11 11:53:55.371162+00
a630f4f6-93c4-4ed2-a708-35a4ab1db1d9,5adb709a-3442-4a19-88f1-9ad37b4012bd,Style,Variant,0.00,48,A-BEN-WL-023-STD,2025-10-11 11:54:18.620625+00
a730fe49-722d-461a-8290-bb61d5823708,b0925a87-018c-48ca-a1dd-fa67f1d7446a,Style,Variant,0.00,60,A-BLT-MN-019-STD,2025-10-11 11:54:14.986505+00
a7915ab5-4f59-42ef-9899-af05570c2362,8b635074-268f-466c-949e-aaaf0b143834,Size,S,0.00,8,W-SWT-CS-005-S,2025-10-11 11:53:55.469112+00
ad7f4158-a2df-425a-b6c7-3ce98cccd3fc,4b118e6e-16fe-4b89-b29c-17edd6303d62,Size,M,0.00,17,M-TEE-PM-014-M,2025-10-11 11:54:09.68316+00
bb2735a8-c8c7-4077-889c-10021fdfa49e,7a199e8b-b8e1-46d2-beb8-99ba92f52dcd,Size,XL,15.00,3,M-SWT-MR-011-XL,2025-10-11 11:54:05.757276+00
bd118296-3f16-4a25-9f84-264f7f5c0247,58bce0b5-fe59-44c4-a5e4-0242444215bf,Size,L,10.00,8,W-TEE-OC-008-L,2025-10-11 11:53:59.798443+00
c3515938-ff12-40d4-8352-daea474192c9,60a51ad1-ba52-43e5-9218-54e27ca857e0,Size,XL,15.00,1,W-CT-WL-002-XL,2025-10-11 11:53:51.381856+00
c8f43a90-d1ef-4023-92f2-bc92c4838526,8b635074-268f-466c-949e-aaaf0b143834,Size,L,10.00,5,W-SWT-CS-005-L,2025-10-11 11:53:55.657231+00
c8fe3820-7eb8-4d4f-96a0-c5347b9c413a,100a25a8-1074-4082-bf3e-619e6bf0ed06,Size,M,0.00,12,M-SRT-OX-009-M,2025-10-11 11:54:01.48591+00
cf2ad520-3ec9-4027-98e1-79a616203e20,100a25a8-1074-4082-bf3e-619e6bf0ed06,Size,XL,15.00,3,M-SRT-OX-009-XL,2025-10-11 11:54:01.700924+00
d07690f4-d4f1-4f92-a955-7ca8856f5def,a72d121a-7487-438d-b961-cbbf19626135,Size,M,0.00,3,W-JKT-LTH-007-M,2025-10-11 11:53:58.271681+00
d2020679-79d4-448c-8c0e-13fa51db9dd9,7a199e8b-b8e1-46d2-beb8-99ba92f52dcd,Size,M,0.00,9,M-SWT-MR-011-M,2025-10-11 11:54:05.565869+00
d272f249-dc23-4a02-938f-0f532ed6a8ff,cd548d76-1702-4cf5-a5d1-c2101fac11f2,Size,S,0.00,6,M-DNM-SV-010-S,2025-10-11 11:54:04.072086+00
d6f2de85-9a6e-4aab-876d-10111f3178b7,1323fd17-1e4c-4b33-a1a9-6d1ef29bbb23,Size,M,0.00,11,W-DNM-HR-003-M,2025-10-11 11:53:52.582946+00
d88b283b-d065-4ef8-8d77-6d6d490ff267,60a51ad1-ba52-43e5-9218-54e27ca857e0,Size,S,0.00,3,W-CT-WL-002-S,2025-10-11 11:53:51.082013+00
d9e8494c-2a2c-4985-842a-f6361ab171cb,b6ce3169-694b-4c53-97e3-97364d3c6f4b,Size,XL,15.00,0,M-JKT-SD-013-XL,2025-10-11 11:54:08.543597+00
da5b40b9-dd00-40a2-ae26-61dffaed58d7,783a36aa-334d-4e88-88cf-65b04f6a0fc3,Size,S,0.00,11,M-PNT-TC-012-S,2025-10-11 11:54:06.905771+00
dff47ba4-77b2-4397-9266-e1a83e2f99f8,100a25a8-1074-4082-bf3e-619e6bf0ed06,Size,L,10.00,8,M-SRT-OX-009-L,2025-10-11 11:54:01.582345+00
e023286b-ba77-43ea-8ee0-f02e3c772f42,b0de0f60-82c8-4e43-a209-4528f01d0b4a,Style,Variant,0.00,16,A-BAG-TT-017-STD,2025-10-11 11:54:13.229822+00
e0a13f2e-ae29-45df-85bd-8465101931e8,80bf27c4-ceeb-45bb-b9d0-3696000167be,Size,L,10.00,4,W-DRS-SS-001-L,2025-10-11 11:53:49.920968+00
e30c40c5-80c2-43fb-814b-8237ad3c2656,80bf27c4-ceeb-45bb-b9d0-3696000167be,Size,XL,15.00,2,W-DRS-SS-001-XL,2025-10-11 11:53:50.021834+00
e3288c44-7cad-4da9-b73a-821cc5018044,274fb507-6d75-46b0-87f5-8d873644c52c,Size,L,10.00,4,W-BLZ-LN-004-L,2025-10-11 11:53:54.224804+00
ee7c73ca-c089-4a5d-b49c-6d3b246b7019,4b118e6e-16fe-4b89-b29c-17edd6303d62,Size,S,0.00,14,M-TEE-PM-014-S,2025-10-11 11:54:09.575583+00
ef0b69db-be9f-4fbb-be5d-c1e8b694b785,aa9058c2-3702-4840-909d-4536f8ef27e7,Size,XL,15.00,2,M-SRT-LN-015-XL,2025-10-11 11:54:11.202888+00
f3f49c1c-4bc8-4873-96ec-5b00c17077fd,45e64d53-de11-4614-8e1b-3b16aac95357,Size,M,0.00,8,W-SKT-PL-006-M,2025-10-11 11:53:57.001244+00
f5db1614-d905-4647-a363-e6f1666d779f,aa9058c2-3702-4840-909d-4536f8ef27e7,Size,L,10.00,4,M-SRT-LN-015-L,2025-10-11 11:54:11.111482+00
f831dfaa-252d-49cd-9359-0e041067c2a7,b6ce3169-694b-4c53-97e3-97364d3c6f4b,Size,M,0.00,0,M-JKT-SD-013-M,2025-10-11 11:54:08.33765+00
fe3eade9-702a-4578-9873-66ee9af9b21c,b6ce3169-694b-4c53-97e3-97364d3c6f4b,Size,S,0.00,0,M-JKT-SD-013-S,2025-10-11 11:54:08.244475+00
